Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
81	1	-41.4438	-49.0892	7.64539	0.4256266	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.105655	0.02060101
82	0	-44.6778	-49.8271	5.1493	0.327672	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.095396	0.1179998
83	1	-43.8211	-48.8277	5.0066	0.6292854	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.786163	1.23812
84	0	-45.4792	-49.0233	3.54401	0.7200581	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.937495	2.719364
85	1	-44.2605	-49.9179	5.65734	0.938184	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.578688	0.3035302
86	0	-41.6937	-48.826	7.13232	0.5111622	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5460781	0.08897972
87	1	-41.5941	-48.8408	7.24664	0.5024627	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1691272	0.340235
88	0	-42.734	-48.9677	6.23367	0.4547876	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9227952	0.8488311
89	1	-42.1116	-48.8703	6.75869	0.6557496	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.08783875	0.8197992
90	0	-41.629	-48.7969	7.16795	0.5356058	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.382641	0.1809283
91	1	-42.6226	-49.2263	6.60365	0.4003541	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.006143023	1.389949
92	0	-43.9421	-48.7847	4.84258	0.5749307	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.334348	0.9498146
