Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
720	-46.4235	-49.4961	3.0726	0.8491277	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9284613	4.135819
730	-42.6478	-48.9725	6.32473	0.4534337	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.292703	0.3721634
740	-43.1045	-48.8076	5.70311	0.6123415	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.37752	0.8380152
750	-45.6862	-50.0559	4.36961	0.9648512	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.942181	0.4408239
760	-48.2692	-50.105	1.83575	0.974131	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.175747	4.211725
770	-44.7194	-51.082	6.36261	1.14307	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2925587	0.5064949
780	-44.442	-50.3825	5.94052	1.024793	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.160922	0.2812232
790	-42.2469	-49.5949	7.34794	0.3511186	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4726603	0.09625823
800	-41.784	-48.883	7.09905	0.482879	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2991494	0.4091593
810	-43.1143	-48.9245	5.81019	0.6818574	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7847033	1.220665
820	-45.8311	-50.7732	4.94201	1.092171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.193335	1.35694
830	-41.6347	-48.8265	7.1918	0.5108294	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.07308617	0.4915762
840	-42.3161	-49.1317	6.81563	0.4171429	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8752278	0.2486146
850	-42.9597	-48.8054	5.8457	0.6101333	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3698738	1.678598
860	-45.4149	-49.2434	3.82846	0.7866493	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.595833	1.643255
870	-43.1414	-48.8671	5.72564	0.6539813	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.033823	0.1053413
880	-49.9419	-48.8305	-1.11131	0.6313171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	10.23258	0.07014073
890	-45.059	-48.7844	3.72545	0.5611255	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5471458	4.082931
900	-41.6432	-48.8997	7.25654	0.4764896	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4972946	0.03118958
910	-45.8881	-49.6241	3.73598	0.3479285	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.743873	0.1273995
920	-41.9943	-48.8643	6.86999	0.4908555	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5338396	0.437584
930	-43.8327	-48.9402	5.10749	0.6885587	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.896892	0.9367818
940	-41.553	-48.784	7.23102	0.5654227	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3779381	0.07508816
950	-42.1921	-48.8602	6.66811	0.4927078	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6705872	0.5388812
960	-42.2773	-49.0592	6.7819	0.7322143	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2055816	0.5834371
970	-42.344	-49.0489	6.70496	0.7288241	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1987313	0.6858834
980	-42.9436	-49.4046	6.461	0.8276131	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3015527	0.7558348
990	-44.9926	-48.881	3.8884	0.6613822	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.972752	2.344084
1000	-44.0779	-49.8987	5.82076	0.9344031	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.545436	0.1467961
