Iteration	Replicate_ID	Posterior	Likelihood	Prior	R
348	0	-33.0936	-32.7968	-0.296785	0.2967851
349	1	-32.9153	-32.7968	-0.118479	0.1184792
350	0	-32.9901	-32.7968	-0.1933	0.1933002
351	1	-32.9136	-32.7968	-0.116814	0.1168137
352	0	-33.0732	-32.7968	-0.276413	0.2764134
353	1	-32.906	-32.7968	-0.109223	0.1092227
354	0	-33.0997	-32.7968	-0.302879	0.3028795
355	1	-32.9063	-32.7968	-0.109488	0.1094878
356	0	-33.0252	-32.7968	-0.22839	0.2283903
357	1	-32.9214	-32.7968	-0.124628	0.1246276
358	0	-33.3286	-32.7968	-0.531864	0.5318639
359	1	-32.9116	-32.7968	-0.114855	0.114855
360	0	-33.7888	-32.7968	-0.992057	0.9920567
361	1	-32.9459	-32.7968	-0.149091	0.1490907
362	0	-33.5981	-32.7968	-0.801365	0.8013649
363	1	-33.0079	-32.7968	-0.211089	0.2110894
364	0	-33.56	-32.7968	-0.763215	0.763215
365	1	-32.971	-32.7968	-0.174176	0.1741759
366	0	-33.5565	-32.7968	-0.759742	0.7597418
367	1	-32.8978	-32.7968	-0.10099	0.1009903
368	0	-33.4045	-32.7968	-0.607675	0.607675
369	1	-32.9484	-32.7968	-0.151581	0.1515808
370	0	-33.1613	-32.7968	-0.364559	0.3645588
371	1	-32.8809	-32.7968	-0.084146	0.08414596
372	0	-33.1897	-32.7968	-0.392953	0.3929533
373	1	-32.9128	-32.7968	-0.11598	0.1159804
374	0	-33.559	-32.7968	-0.762172	0.7621716
375	1	-33.0049	-32.7968	-0.208097	0.2080967
376	0	-33.319	-32.7968	-0.522223	0.522223
377	1	-33.0401	-32.7968	-0.243316	0.2433157
378	0	-33.2646	-32.7968	-0.467796	0.4677959
379	1	-33.0236	-32.7968	-0.226786	0.2267859
380	0	-33.0818	-32.7968	-0.285062	0.2850622
381	1	-33.0879	-32.7968	-0.291078	0.2910779
382	0	-33.0602	-32.7968	-0.26345	0.2634499
383	1	-33.0052	-32.7968	-0.208445	0.2084445
384	0	-33.0697	-32.7968	-0.272932	0.272932
385	1	-32.931	-32.7968	-0.134194	0.1341941
386	0	-33.2907	-32.7968	-0.493886	0.4938857
387	1	-33.045	-32.7968	-0.248172	0.2481723
388	0	-33.3828	-32.7968	-0.585982	0.5859818
389	1	-33.1129	-32.7968	-0.316122	0.316122
390	0	-33.4554	-32.7968	-0.658586	0.658586
391	1	-33.1392	-32.7968	-0.342452	0.3424524
392	0	-33.4807	-32.7968	-0.683945	0.6839455
393	1	-33.2664	-32.7968	-0.469617	0.4696166
394	0	-33.3596	-32.7968	-0.562773	0.5627732
395	1	-33.0968	-32.7968	-0.30002	0.3000203
396	0	-33.343	-32.7968	-0.546258	0.546258
397	1	-33.0908	-32.7968	-0.293988	0.2939875
398	0	-33.5714	-32.7968	-0.77461	0.7746103
399	1	-33.0035	-32.7968	-0.206766	0.2067665
400	0	-33.5989	-32.7968	-0.802121	0.8021207
401	1	-32.991	-32.7968	-0.194218	0.1942178
402	0	-33.2138	-32.7968	-0.417039	0.4170386
403	1	-33.148	-32.7968	-0.351261	0.3512608
404	0	-32.993	-32.7968	-0.196251	0.1962508
405	1	-33.3624	-32.7968	-0.565649	0.5656494
406	0	-32.8824	-32.7968	-0.0856149	0.08561488
407	1	-33.9247	-32.7968	-1.12788	1.127882
408	0	-32.8952	-32.7968	-0.0983718	0.09837179
409	1	-33.9247	-32.7968	-1.12788	1.127882
410	0	-32.9369	-32.7968	-0.140155	0.1401551
411	1	-34.868	-32.7968	-2.07119	2.071186
412	0	-32.8874	-32.7968	-0.0906031	0.09060312
413	1	-36.0452	-32.7968	-3.24839	3.248389
414	0	-33.0074	-32.7968	-0.210636	0.2106363
415	1	-34.1732	-32.7968	-1.37646	1.376462
416	0	-33.3765	-32.7968	-0.579755	0.5797555
417	1	-33.4113	-32.7968	-0.614487	0.6144867
418	0	-33.3765	-32.7968	-0.579755	0.5797555
419	1	-33.1352	-32.7968	-0.338454	0.3384537
420	0	-33.3873	-32.7968	-0.590515	0.5905154
421	1	-33.2523	-32.7968	-0.455554	0.455554
422	0	-34.5559	-32.7968	-1.75915	1.759149
423	1	-33.0519	-32.7968	-0.255125	0.2551254
424	0	-33.4757	-32.7968	-0.678932	0.6789323
425	1	-33.7465	-32.7968	-0.949698	0.9496978
426	0	-32.9573	-32.7968	-0.160554	0.1605537
427	1	-33.9955	-32.7968	-1.19871	1.198708
428	0	-33.1283	-32.7968	-0.33157	0.3315695
429	1	-33.0411	-32.7968	-0.244339	0.2443388
430	0	-32.9247	-32.7968	-0.127953	0.1279525
431	1	-33.108	-32.7968	-0.311252	0.3112519
432	0	-32.996	-32.7968	-0.199269	0.1992692
433	1	-33.0929	-32.7968	-0.296087	0.2960871
434	0	-32.9342	-32.7968	-0.137407	0.137407
435	1	-33.4856	-32.7968	-0.688771	0.688771
436	0	-32.9686	-32.7968	-0.171828	0.1718276
437	1	-33.3116	-32.7968	-0.514865	0.5148645
438	0	-32.9193	-32.7968	-0.122532	0.122532
439	1	-33.0888	-32.7968	-0.291991	0.2919909
440	0	-32.8692	-32.7968	-0.0723801	0.07238012
441	1	-33.585	-32.7968	-0.788233	0.7882326
442	0	-32.8776	-32.7968	-0.0808212	0.08082115
443	1	-33.2762	-32.7968	-0.479419	0.4794187
444	0	-32.8569	-32.7968	-0.0601262	0.06012616
445	1	-33.062	-32.7968	-0.265236	0.265236
446	0	-32.8527	-32.7968	-0.0559591	0.05595909
447	1	-33.1273	-32.7968	-0.330504	0.3305042
448	0	-32.8505	-32.7968	-0.0537315	0.05373151
449	1	-33.5967	-32.7968	-0.799964	0.7999641
450	0	-32.8391	-32.7968	-0.0422892	0.04228922
451	1	-34.6889	-32.7968	-1.8921	1.8921
452	0	-32.8214	-32.7968	-0.0245975	0.02459751
453	1	-34.5431	-32.7968	-1.7463	1.746297
454	0	-32.8635	-32.7968	-0.0666936	0.06669365
455	1	-33.573	-32.7968	-0.776177	0.7761768
456	0	-32.9292	-32.7968	-0.132421	0.1324213
457	1	-33.1546	-32.7968	-0.357815	0.3578146
458	0	-33.1082	-32.7968	-0.311384	0.3113836
459	1	-33.2154	-32.7968	-0.418601	0.418601
460	0	-33.2728	-32.7968	-0.476052	0.4760517
461	1	-34.3946	-32.7968	-1.59784	1.597841
462	0	-33.1445	-32.7968	-0.347763	0.3477629
463	1	-33.6401	-32.7968	-0.843364	0.8433641
464	0	-33.2194	-32.7968	-0.422656	0.4226562
465	1	-33.3292	-32.7968	-0.532409	0.5324093
466	0	-33.306	-32.7968	-0.509249	0.5092489
467	1	-33.9515	-32.7968	-1.15476	1.154764
468	0	-33.9055	-32.7968	-1.10867	1.108673
469	1	-33.8026	-32.7968	-1.00582	1.005818
470	0	-33.522	-32.7968	-0.725248	0.7252481
471	1	-35.0678	-32.7968	-2.27103	2.271027
472	0	-33.1948	-32.7968	-0.398015	0.398015
473	1	-34.8633	-32.7968	-2.06647	2.066473
474	0	-33.2235	-32.7968	-0.426764	0.4267642
475	1	-33.8325	-32.7968	-1.03575	1.03575
476	0	-34.087	-32.7968	-1.29025	1.290253
477	1	-33.3988	-32.7968	-0.601982	0.6019819
478	0	-33.2794	-32.7968	-0.482642	0.4826424
479	1	-33.368	-32.7968	-0.571204	0.5712038
480	0	-32.9989	-32.7968	-0.202091	0.202091
481	1	-32.9539	-32.7968	-0.157098	0.1570984
482	0	-33.1829	-32.7968	-0.386092	0.3860924
483	1	-32.862	-32.7968	-0.065209	0.06520901
484	0	-32.968	-32.7968	-0.171207	0.1712066
485	1	-32.9022	-32.7968	-0.105405	0.1054048
486	0	-32.9053	-32.7968	-0.10849	0.10849
487	1	-33.004	-32.7968	-0.20727	0.2072699
488	0	-33.3233	-32.7968	-0.526512	0.5265118
489	1	-33.0607	-32.7968	-0.263873	0.2638735
490	0	-33.481	-32.7968	-0.68418	0.6841798
491	1	-33.6106	-32.7968	-0.813821	0.8138215
492	0	-34.4678	-32.7968	-1.67097	1.670975
493	1	-33.1201	-32.7968	-0.323322	0.3233219
494	0	-34.2847	-32.7968	-1.4879	1.487902
495	1	-32.9533	-32.7968	-0.15655	0.1565499
496	0	-33.3634	-32.7968	-0.566621	0.5666211
497	1	-33.1359	-32.7968	-0.339149	0.3391492
498	0	-33.357	-32.7968	-0.560188	0.5601876
499	1	-33.8312	-32.7968	-1.0344	1.034405
