Iteration	Posterior	Likelihood	Prior	R
300	-33.7326	-32.7968	-0.935792	0.9357925
301	-33.9106	-32.7968	-1.11383	1.113832
302	-33.2778	-32.7968	-0.481028	0.4810285
303	-33.0236	-32.7968	-0.226859	0.2268591
304	-33.3142	-32.7968	-0.517447	0.5174472
305	-33.843	-32.7968	-1.04618	1.046182
306	-33.7307	-32.7968	-0.933871	0.9338713
307	-33.3503	-32.7968	-0.553519	0.5535192
308	-33.8774	-32.7968	-1.08062	1.080617
309	-34.2859	-32.7968	-1.48912	1.489125
310	-34.0052	-32.7968	-1.20846	1.208456
311	-33.4344	-32.7968	-0.637593	0.6375928
312	-33.4104	-32.7968	-0.613651	0.6136508
313	-34.0797	-32.7968	-1.28296	1.282965
314	-33.792	-32.7968	-0.995177	0.9951771
315	-33.9662	-32.7968	-1.16941	1.169409
316	-33.7997	-32.7968	-1.00296	1.002961
317	-34.4877	-32.7968	-1.69093	1.690927
318	-34.5123	-32.7968	-1.71555	1.715553
319	-34.3248	-32.7968	-1.52801	1.528009
320	-34.9006	-32.7968	-2.10385	2.10385
321	-34.9006	-32.7968	-2.10385	2.10385
322	-36.5394	-32.7968	-3.74265	3.742654
323	-34.6555	-32.7968	-1.85875	1.858749
324	-34.8682	-32.7968	-2.07145	2.071449
325	-34.5262	-32.7968	-1.72943	1.729431
326	-35.1353	-32.7968	-2.3385	2.338504
327	-36.288	-32.7968	-3.49124	3.491245
328	-35.5758	-32.7968	-2.77901	2.779007
329	-34.284	-32.7968	-1.48723	1.487229
330	-34.9442	-32.7968	-2.14746	2.147465
331	-33.7732	-32.7968	-0.976441	0.9764407
332	-33.1408	-32.7968	-0.344041	0.3440408
333	-33.2002	-32.7968	-0.403403	0.4034032
334	-33.4882	-32.7968	-0.691396	0.6913965
335	-33.3321	-32.7968	-0.535366	0.5353664
336	-33.3251	-32.7968	-0.52829	0.5282896
337	-33.21	-32.7968	-0.413241	0.4132407
338	-33.2139	-32.7968	-0.417156	0.4171564
339	-33.6765	-32.7968	-0.879717	0.8797171
340	-33.2239	-32.7968	-0.427145	0.427145
341	-32.9675	-32.7968	-0.170751	0.1707512
342	-32.8873	-32.7968	-0.0905344	0.09053435
343	-32.9219	-32.7968	-0.12515	0.1251498
344	-33.1582	-32.7968	-0.361443	0.3614429
345	-33.1143	-32.7968	-0.317549	0.3175485
346	-33.1834	-32.7968	-0.386668	0.3866676
347	-34.8801	-32.7968	-2.08334	2.083343
348	-34.7551	-32.7968	-1.95831	1.958305
349	-33.7896	-32.7968	-0.992789	0.9927893
350	-33.9457	-32.7968	-1.14889	1.14889
351	-33.5708	-32.7968	-0.774031	0.7740309
352	-33.4777	-32.7968	-0.680923	0.6809233
353	-33.1998	-32.7968	-0.402976	0.4029757
354	-33.1056	-32.7968	-0.308843	0.308843
355	-33.9931	-32.7968	-1.19628	1.196285
356	-33.6583	-32.7968	-0.861486	0.8614862
357	-33.707	-32.7968	-0.910219	0.9102187
358	-33.9543	-32.7968	-1.15751	1.157508
359	-33.9543	-32.7968	-1.15751	1.157508
360	-34.1504	-32.7968	-1.35365	1.353655
361	-33.7545	-32.7968	-0.957753	0.9577535
362	-33.4344	-32.7968	-0.637662	0.6376618
363	-33.0418	-32.7968	-0.244989	0.2449885
364	-32.9452	-32.7968	-0.148371	0.1483708
365	-32.9542	-32.7968	-0.157453	0.1574529
366	-32.9081	-32.7968	-0.111366	0.1113662
367	-32.8435	-32.7968	-0.0467234	0.04672344
368	-32.8556	-32.7968	-0.0588253	0.05882527
369	-32.8409	-32.7968	-0.0441454	0.04414545
370	-32.8319	-32.7968	-0.0351568	0.03515679
371	-32.8244	-32.7968	-0.0276368	0.02763683
372	-32.8522	-32.7968	-0.0553806	0.05538065
373	-32.8411	-32.7968	-0.0443407	0.04434069
374	-32.8723	-32.7968	-0.0755412	0.07554122
375	-32.9079	-32.7968	-0.111139	0.1111395
376	-32.8947	-32.7968	-0.0979292	0.09792924
377	-32.8597	-32.7968	-0.0629485	0.06294851
378	-33.0193	-32.7968	-0.222559	0.2225594
379	-33.356	-32.7968	-0.559171	0.5591715
380	-33.0249	-32.7968	-0.228097	0.2280967
381	-33.1491	-32.7968	-0.352324	0.3523237
382	-33.5988	-32.7968	-0.801989	0.8019887
383	-33.462	-32.7968	-0.66524	0.6652397
384	-33.6028	-32.7968	-0.806062	0.8060618
385	-33.3859	-32.7968	-0.589157	0.5891566
386	-33.6064	-32.7968	-0.809647	0.8096466
387	-33.6491	-32.7968	-0.852321	0.852321
388	-33.4928	-32.7968	-0.695988	0.695988
389	-33.9738	-32.7968	-1.17701	1.177012
390	-33.4395	-32.7968	-0.64268	0.64268
391	-33.1231	-32.7968	-0.326367	0.3263672
392	-33.3622	-32.7968	-0.56546	0.5654604
393	-33.2316	-32.7968	-0.434824	0.4348243
394	-33.7425	-32.7968	-0.945729	0.9457286
395	-33.2186	-32.7968	-0.421847	0.4218474
396	-33.1688	-32.7968	-0.372047	0.3720468
397	-33.3852	-32.7968	-0.588432	0.5884316
398	-33.5647	-32.7968	-0.767952	0.7679522
399	-33.7669	-32.7968	-0.970077	0.970077
400	-34.029	-32.7968	-1.2322	1.232197
401	-34.0837	-32.7968	-1.28696	1.286964
402	-34.0837	-32.7968	-1.28696	1.286964
403	-34.1176	-32.7968	-1.3208	1.3208
404	-33.4671	-32.7968	-0.670289	0.6702888
405	-34.1794	-32.7968	-1.38262	1.382624
406	-33.9514	-32.7968	-1.15462	1.154617
407	-34.0574	-32.7968	-1.26061	1.260614
408	-33.1924	-32.7968	-0.395573	0.3955727
409	-33.0136	-32.7968	-0.216783	0.2167826
410	-32.8662	-32.7968	-0.0694045	0.06940452
411	-33.6992	-32.7968	-0.902422	0.9024218
412	-34.0223	-32.7968	-1.22547	1.225472
413	-33.3953	-32.7968	-0.598483	0.5984834
