Iteration	Posterior	Likelihood	Prior	cw	lb	to
173	-33.545	-31.6492	-1.89584	0.3485943	0.5092385	1.038011
174	-33.5511	-31.2603	-2.29081	0.5911161	0.8530326	0.8466577
175	-33.8559	-31.228	-2.62798	0.6264164	0.8530326	1.148531
176	-33.7056	-31.6271	-2.07847	0.4137614	0.7491217	0.9155847
177	-34.691	-32.2241	-2.46686	0.59232	1.291299	0.5832448
178	-33.8052	-31.6489	-2.15633	0.4543812	0.8689403	0.8330044
179	-33.1971	-31.2322	-1.9649	0.4744191	0.6574726	0.8330044
180	-33.6933	-31.2839	-2.40937	0.5649467	0.810962	1.033457
181	-33.0906	-31.0796	-2.01099	0.5405097	0.6729856	0.7974982
182	-32.2778	-30.7925	-1.48534	0.5405097	0.4659225	0.4789047
183	-34.3041	-31.934	-2.37012	0.812088	1.07913	0.4789047
184	-32.9275	-30.702	-2.22547	0.8396916	0.656598	0.7291798
185	-32.4966	-30.3734	-2.12325	0.9543855	0.4396829	0.7291798
186	-32.7597	-30.3152	-2.4445	0.9543855	0.4019048	1.088207
187	-33.4985	-30.2949	-3.20359	1.276995	0.4849998	1.441593
188	-32.4887	-30.5499	-1.93873	0.9766354	0.4058905	0.5562055
189	-32.8853	-30.3691	-2.51619	1.348948	0.3671137	0.800131
190	-34.5234	-30.352	-4.17132	1.842172	0.3542951	1.974856
191	-34.1088	-30.4659	-3.64295	1.459753	0.3005038	1.882694
192	-34.0958	-30.334	-3.76188	1.946264	0.3005038	1.515109
193	-33.3815	-30.3542	-3.02727	1.562528	0.4884119	0.9763292
194	-33.3465	-30.843	-2.50343	1.156687	0.6952556	0.6514916
195	-33.7743	-31.0852	-2.68901	0.8176395	0.9795484	0.8918256
196	-33.9335	-30.9457	-2.98785	1.185683	0.9795484	0.8226223
197	-33.741	-30.4966	-3.24434	1.185683	0.7809767	1.277683
198	-34.4029	-30.6141	-3.78881	1.185683	0.8166576	1.786472
199	-33.5668	-30.7082	-2.8586	0.9424083	0.8166576	1.099531
200	-34.0188	-31.0676	-2.95121	1.154299	1.020786	0.7761207
201	-34.336	-30.2448	-4.09115	1.781721	0.6377505	1.67168
202	-33.0782	-30.4941	-2.58403	0.9921301	0.6377505	0.9541471
203	-32.6626	-30.7841	-1.87852	0.6173953	0.1515636	1.109565
204	-31.8616	-30.8294	-1.03224	0.2861536	0.1574983	0.5885836
205	-31.6174	-30.3167	-1.30066	0.6258064	0.2298991	0.4449538
206	-32.7724	-30.9026	-1.86982	0.4939477	0.4376497	0.9382178
207	-33.7367	-32.1277	-1.60903	0.2394837	0.4313235	0.9382178
208	-35.0978	-33.3717	-1.72608	0.1558948	0.4449736	1.125213
209	-33.2719	-32.3803	-0.891622	0.1499097	0.4449736	0.2967389
210	-34.1495	-32.3362	-1.81332	0.307405	0.8923356	0.6135824
211	-35.8505	-33.6653	-2.18522	0.1834071	0.8923356	1.109474
212	-32.5714	-31.1814	-1.39003	0.3621059	0.4915982	0.536329
213	-34.4724	-32.1246	-2.34778	1.576122	0.4091335	0.3625211
214	-33.833	-31.6775	-2.15555	0.9499263	0.7905065	0.4151178
215	-32.3485	-30.6726	-1.67583	0.5988571	0.4827995	0.594178
216	-31.6429	-30.4908	-1.15202	0.3984768	0.2499945	0.5035454
217	-32.8244	-31.334	-1.49046	0.3196521	0.2499945	0.9208162
218	-32.8562	-31.3476	-1.50861	0.3196521	0.2681404	0.9208162
219	-32.9399	-30.7854	-2.15451	0.6318724	0.2681404	1.2545
220	-32.7598	-30.7634	-1.99637	0.9529561	0.5143492	0.5290598
221	-31.8623	-30.4408	-1.42151	0.5548214	0.3299437	0.5367415
222	-31.4896	-30.2838	-1.20581	0.5548214	0.1142448	0.5367415
223	-33.3274	-31.049	-2.27841	0.5548214	0.5248438	1.198741
224	-34.0091	-31.2493	-2.75982	0.6870859	0.982922	1.089811
225	-33.915	-30.8647	-3.05028	0.9775443	0.982922	1.089811
226	-35.7768	-31.2814	-4.49548	0.9775443	1.106652	2.41128
227	-35.4694	-31.0751	-4.39426	1.052406	0.9305693	2.41128
228	-34.345	-31.1242	-3.22082	1.052406	1.203589	0.9648198
229	-35.0123	-31.0352	-3.97713	1.795921	1.216385	0.9648198
230	-34.5788	-31.7965	-2.78227	0.9265287	1.251506	0.6042329
231	-33.0425	-30.412	-2.63048	0.9387668	0.41992	1.271792
232	-34.2135	-31.4114	-2.80209	0.5885623	0.8452189	1.368313
233	-33.6641	-30.5815	-3.08263	1.00426	0.7100602	1.368313
