Iteration	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
114	-39.5688	-31.1179	-8.45089	0.1519706	0.3448145	1.651044	0.9943419	0.1907593	0.5270616	0.3694615	0.7644089	1.583207	1.035973	0.5135814	0.3242668
115	-38.9988	-30.5096	-8.48927	0.2331479	0.7543017	1.709477	0.6373618	0.13914	1.078817	0.4125046	0.7644089	0.9999277	1.122149	0.4340022	0.2040345
116	-41.2089	-31.0687	-10.1402	0.391914	0.8198087	1.514733	0.5779727	0.09488616	1.078817	0.7746276	1.099398	1.235252	1.819741	0.4340022	0.2990464
117	-41.3018	-30.8258	-10.476	0.5707908	0.4178188	1.393961	0.710139	0.09488616	0.8504585	0.7746276	1.099398	1.470797	1.819741	0.9147751	0.3586052
118	-43.7149	-32.1396	-11.5753	1.287313	0.535033	2.283645	1.064362	0.09488616	0.8493802	0.2572657	1.099398	1.215147	1.462423	1.035711	0.3906896
119	-43.1739	-31.3669	-11.807	2.069906	0.3903806	1.815415	0.6662647	0.1188775	0.6123374	0.4302927	0.8467627	1.17203	1.462423	1.83164	0.3906896
120	-44.1101	-30.6416	-13.4685	3.039978	0.259603	1.815415	0.6714283	0.2008331	0.6267829	0.4302927	1.618431	1.104364	1.226687	1.930213	0.544465
121	-42.4276	-30.7275	-11.7	2.344283	0.3553061	1.727935	0.418962	0.2041002	0.9498823	0.6280913	1.474821	0.6787473	0.9813493	1.37396	0.5626112
122	-45.9386	-31.937	-14.0016	2.344283	0.2388267	1.270885	0.559772	0.3014122	0.6488583	1.460104	2.492888	0.6165591	1.246999	1.750072	1.070914
123	-48.3507	-32.2612	-16.0895	2.984799	0.1539334	2.126521	0.5894941	0.3014122	0.5994181	1.460104	1.829667	0.8169287	1.978453	1.822234	1.426539
124	-47.5197	-32.2185	-15.3013	4.099506	0.1035433	1.382547	0.6375826	0.3133834	0.5321714	1.026887	1.829667	0.7821824	1.538482	1.628762	1.426539
125	-47.4397	-31.1318	-16.3078	2.696469	0.1664451	1.873649	0.5468976	0.3133834	0.9126878	0.9534976	2.231113	0.5897521	1.878943	1.488267	2.656709
126	-46.5069	-31.6872	-14.8197	2.254476	0.1339761	2.15959	0.6640103	0.1148844	0.6518115	1.086226	1.367488	0.9166646	1.535668	1.454583	2.480338
127	-46.786	-31.688	-15.098	1.880138	0.1450806	1.519142	1.002337	0.1148844	0.540392	0.8670145	1.990276	0.60664	1.622799	2.328929	2.480338
128	-49.4486	-31.8613	-17.5873	1.724343	0.1450806	1.912674	1.390751	0.1814117	0.7187613	1.302	1.31694	0.8912969	1.781536	3.7593	2.463253
129	-47.72	-32.5022	-15.2178	1.724343	0.2523205	1.912674	1.08231	0.1494178	0.6592937	1.522773	0.8880415	0.3458134	1.197346	2.684238	2.799272
130	-45.4168	-32.4148	-13.0021	2.182617	0.2108251	0.6983347	1.08231	0.1494178	0.6842261	1.357872	0.5356442	0.4356491	1.318169	1.754379	2.592624
131	-45.869	-31.4309	-14.4381	2.182617	0.2108251	1.370162	0.6597161	0.1494178	0.9451284	1.231944	0.5356442	0.6752674	1.566415	2.318355	2.592624
132	-45.3235	-30.5095	-14.8139	1.708884	0.3493889	1.250472	0.5244457	0.2070964	1.343582	0.9896891	0.9123032	0.6914357	1.566415	2.677607	2.592624
133	-46.9642	-30.1787	-16.7856	1.689745	0.3337935	1.977388	0.7053847	0.5432362	1.123494	1.124515	0.9123032	0.9308768	2.174594	2.677607	2.592624
134	-45.8143	-29.9065	-15.9078	1.109022	0.1983786	2.31076	0.4520893	0.5674756	1.060252	0.7075475	0.5103256	0.7892473	2.174594	2.677607	3.35054
135	-42.9198	-29.8628	-13.057	1.289952	0.1656525	1.056522	0.4520893	0.3872318	1.448584	0.5579658	0.5103256	0.4865635	1.112567	2.578495	3.011061
136	-42.9176	-30.3728	-12.5448	1.289952	0.2321916	0.8627276	0.6944058	0.3872318	1.448584	0.5129054	0.3912115	0.6362767	1.188098	1.522674	3.378523
137	-42.7075	-30.1525	-12.555	1.289952	0.3720023	0.9085864	0.5323707	0.7591527	1.276606	0.4760512	0.5809654	0.6362767	1.681254	1.524908	2.516871
138	-43.1052	-30.1866	-12.9187	1.658835	0.4942385	0.3759345	0.9045908	0.962038	0.964814	0.4297239	0.5809654	0.4045902	1.461361	2.164703	2.516871
139	-40.9877	-29.8509	-11.1368	0.9458974	0.3653761	0.3759345	0.9045908	0.8669704	0.9939818	0.4297239	0.4266475	0.3609413	1.047438	2.164703	2.25457
140	-43.9413	-30.6921	-13.2492	0.8460582	0.4633435	0.9143592	0.5911174	0.4721066	1.439158	0.4600942	0.1523306	0.4797766	1.196962	3.919033	2.314874
141	-44.1215	-31.2791	-12.8424	0.8460582	0.609712	0.9436789	0.7503848	0.4721066	2.272035	0.4600942	0.1738328	0.5273093	1.491745	1.685285	2.610179
142	-44.3852	-31.3954	-12.9898	0.7564592	0.609712	0.4008202	1.015629	0.5414858	2.351566	0.4375018	0.1735512	0.5273093	1.949175	1.383106	2.84349
143	-42.548	-30.9636	-11.5844	0.6176406	0.9815341	0.4008202	1.262783	0.4563317	1.48575	0.2941566	0.1735512	0.7327079	0.7776377	1.557976	2.84349
144	-41.5114	-31.95	-9.56143	0.6176406	0.7711096	0.4408402	1.262783	0.4143763	0.9337313	0.3564417	0.1428656	0.4261791	0.4997566	0.8522192	2.84349
145	-39.7162	-31.2006	-8.51564	0.3867285	0.9949747	0.3851471	0.818998	0.4143763	1.025248	0.3226262	0.1716216	0.5785854	0.3088415	0.5118246	2.596664
146	-41.3887	-31.5972	-9.79151	0.5521884	1.085414	0.3851471	1.054428	0.4173107	1.893141	0.2486373	0.1621868	0.4164033	0.3088415	0.7574704	2.510345
147	-42.3395	-32.4966	-9.8429	0.6434232	1.614202	0.2969146	1.529615	0.3955256	0.7843566	0.2486373	0.2168921	0.9447626	0.2406321	0.7304724	2.197469
148	-41.6725	-31.1364	-10.5361	0.554464	0.8851326	0.3595885	1.529615	1.185078	1.209269	0.2167273	0.2058158	0.9447626	0.4222057	0.7304724	2.292986
149	-42.2016	-30.8192	-11.3824	0.6177813	0.5111671	0.8231563	1.310221	0.9176238	1.371391	0.2443529	0.3005781	1.251495	0.5720967	0.7304724	2.732053
150	-42.0565	-30.8557	-11.2008	0.588968	0.3484202	0.992882	0.8653168	0.7256949	1.610101	0.2362589	0.3005781	2.702313	0.8309469	0.3741165	1.625207
151	-42.7047	-31.0471	-11.6576	0.4505884	0.7957692	0.9950871	1.080405	0.6282544	1.296401	0.3071115	0.2523222	2.702313	0.8309469	0.3923002	1.926095
152	-43.9177	-30.789	-13.1287	0.3483915	0.801788	1.422159	1.080405	0.9435602	1.906624	0.3529137	0.1724038	2.702313	1.340922	0.3923002	1.664886
153	-46.0544	-30.3937	-15.6607	0.3397809	0.3952157	1.422159	0.7787772	1.270855	1.560741	0.1776141	0.2298378	4.452567	1.512055	0.5127994	3.00825
154	-44.0861	-30.1322	-13.9539	0.3397809	0.2406562	1.097047	0.984048	1.181885	1.734214	0.1286848	0.2745154	3.968203	1.083625	0.5127994	2.408487
155	-44.8211	-30.5111	-14.3099	0.4530791	0.2406562	1.097047	1.206601	0.635651	2.237843	0.09084079	0.3828263	3.274269	1.769847	0.5127994	2.408487
156	-44.6784	-30.2622	-14.4162	0.6026393	0.1790115	1.657459	0.9146913	0.5868577	2.237843	0.1496845	0.3828263	2.651814	2.159157	0.6154718	2.278749
157	-46.3574	-30.9747	-15.3828	0.860838	0.3335353	1.359201	0.7101183	1.338401	2.840475	0.1504628	0.3828263	3.294661	1.432615	0.4008795	2.278749
158	-47.8793	-31.3336	-16.5457	0.4779604	0.3546818	1.359201	0.9596767	3.263558	2.233477	0.2959709	0.6794375	2.000447	2.434013	0.2085381	2.278749
159	-46.7883	-31.056	-15.7323	0.3974405	0.3237849	1.95338	0.6970751	2.85064	2.842765	0.484239	0.3865969	2.037449	1.650695	0.305141	1.803125
160	-50.0588	-31.1841	-18.8746	0.3974405	0.1503027	1.555772	1.781019	3.853817	2.842765	0.5102611	0.3567808	3.834106	1.709434	0.3372783	1.545641
161	-49.4574	-30.596	-18.8614	0.3974405	0.2409974	1.365495	1.406915	2.939622	4.514002	0.6507859	0.3567808	3.834106	1.575296	0.4496989	1.13022
