Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
79	1	-43.0751	-31.3031	-11.772	0.4449917	1.542195	0.3084942	0.3781591	0.1595472	2.42368	2.100117	0.4974509	1.866076	0.277078	1.188484	0.5857469
80	0	-39.1926	-30.8945	-8.29813	0.1772936	0.5305248	2.297258	1.184152	0.4730072	0.7276275	0.404943	0.4039213	0.371165	0.5138267	1.028169	0.1862419
81	1	-44.5859	-31.7424	-12.8434	0.4449917	1.365558	0.3084942	0.614175	0.08478281	2.703663	1.4887	0.5079056	2.37564	0.2399442	2.276488	0.4331039
82	0	-40.7211	-31.6851	-9.036	0.1488952	0.6017863	1.543937	1.343778	0.4730072	0.7825939	0.9584199	0.5203866	0.371165	0.5138267	1.591958	0.1862419
83	1	-46.6897	-32.134	-14.5558	0.4110562	0.619424	0.3442847	0.614175	0.1122944	3.050484	1.643954	0.5882352	3.052762	0.1582841	3.702641	0.25817
84	0	-39.9249	-31.1118	-8.81316	0.1488952	0.6134708	1.015628	1.559526	0.4648909	1.248801	0.6075689	0.7030082	0.371165	0.7161284	1.10412	0.2599624
85	1	-46.769	-32.5059	-14.2631	0.7037855	0.3018914	0.3442847	0.7810781	0.06498597	2.220638	3.421619	0.3727779	3.052762	0.1582841	2.618896	0.2221333
86	0	-40.9187	-31.3392	-9.57949	0.1678953	0.8244068	1.015628	1.676715	0.4648909	0.987215	0.8338246	1.197394	0.2981529	0.6446597	1.208743	0.2599624
87	1	-49.3723	-33.1548	-16.2175	0.6292275	0.5037494	0.5560629	1.143364	0.04441576	2.955092	3.421619	0.3762337	3.052762	0.2375692	3.159086	0.1382786
88	0	-42.7201	-31.7722	-10.9478	0.3911135	0.864177	1.382992	1.676715	0.4648909	1.123125	0.8735423	0.6423671	0.31741	1.423724	1.508649	0.2791337
89	1	-51.8617	-33.986	-17.8757	0.9658025	0.309763	0.5427133	1.761915	0.0559584	4.108007	3.330877	0.2804377	3.052762	0.2310049	3.159086	0.07733165
90	0	-42.0816	-32.0193	-10.0623	0.3911135	0.8405037	1.382992	1.457899	0.4648909	1.502702	0.8357426	0.289704	0.2896455	1.082385	1.293689	0.2310571
91	1	-48.2671	-33.7482	-14.5189	0.8024929	0.2424167	0.8945593	1.033607	0.0559584	4.108007	1.603448	0.2161277	2.363951	0.1933459	2.939585	0.06544797
92	0	-41.7559	-32.2507	-9.50523	0.2911384	0.7339908	1.277957	1.639022	0.3567832	1.41532	0.8357426	0.3322697	0.2249165	1.142407	0.9272655	0.3284203
93	1	-45.6367	-32.7084	-12.9283	0.6783408	0.2636396	0.970678	0.7123992	0.06682889	2.972017	1.481634	0.2409099	2.363951	0.1398167	2.939585	0.0984751
94	0	-41.856	-31.9458	-9.91019	0.3205707	0.8861201	0.9164504	1.639022	0.3540895	1.964107	0.90973	0.6726587	0.2008489	0.7037083	0.7122436	0.630645
95	1	-47.8622	-33.1985	-14.6636	1.092568	0.1650502	0.8459705	0.8902788	0.04614138	2.972017	1.977995	0.3009992	2.363951	0.1177897	3.772254	0.1185994
96	0	-43.0964	-31.8291	-11.2673	0.864681	0.6678096	1.733081	1.56579	0.6813309	1.964107	0.6619928	0.768228	0.1255776	0.4787305	0.7122436	1.043706
97	1	-48.1846	-32.6796	-15.505	0.7687939	0.3292568	0.6496263	0.8036807	0.04614138	2.972017	1.977995	0.6684564	3.101279	0.1650477	3.904135	0.1185994
