Filename,STEREO?,"Video name (or master, or left)",Secondary,Species,Architecture,Zooid number,optics,Speed range,Fluorescein?,Jet frames,Frontal CSA frame,DVZS frame,Scale Length mm,FPS,What was done,Comment,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0098,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0099,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0100,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Jack Sony,No,c0101,NA,Cyclosalpa affinis,Whorl,,brightfield,,No,NA,,,,,,Appears to be data taken on ship,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Jack Sony,No,c0102,NA,Cyclosalpa affinis,Whorl,,brightfield,yes,No,NA,,,,,,Appears to be data taken on ship,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0104,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0105,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0105,NA,Iasis cylindrica,Linear,,late video,,No,NA,,,,30,,yellowtail,
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0107,NA,Iasis cylindrica,Linear,,"same from vidoe before, great CSA shot",,No,NA,,,,30,,"yellowtail, same as 105?",
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0110,NA,Iasis cylindrica,Linear,,stage 4-5. 2 zooid,,No,NA,,,,30,,"yellowtail, same as 105?",
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0113,NA,Brooksia rostrata,Bipinnate,,3 zooid,,No,NA,,,,30,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Jack Sony,No,c0117,NA,Cyclosalpa sewelli,Cluster,,brightfield,,No,NA,,,,,,single zooid! very pregnant,
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0117,NA,Cyclosalpa affinis,Whorl chain,,3 zooid,,No,NA,,,,30,,Appears to be data taken on ship,
D:\Kona_May_2023\Kona May 2023\May 6\Jack Sony 1080 120 fps,No,C0117,,Cyclosalpa bakeri,Whorl,5,,yes,yes,10-21s,~31s,yes,yes,120,,,
D:\Kona_Sept 2022\Sept 14\Brad Day_Sony darkfield 4K 30fps,No,C0119,NA,Iasis cylindrica,Linear,,long chain,,No,NA,,,,30,,yellowtail,
E:\WestPalmBeach_June_2021\10July2021\Field\sony,No,C0121,NA,Brooksia rostrata,Bipinnate,,brightfield,,No,NA,,,,,,has finger scale,
D:\Kona_Sept 2022\Sept 15\Brad Day Sony darkfield 4K 30fps,No,C0123_a,NA,Iasis cylindrica,Linear,,,,No,NA,,,,30,,yellowtail,
E:\Kelly\WestPalmBeach2021\10July2021\Field\Sony\C0123.MP4,No,C0123_b,NA,Thalia sp.,Oblique,29,,492-550,No,NA,No,,2.2,30,,Thalia sp. aggregate chain; has finger scale	,
D:\Kona_May_2023\Kona May 2023\May 6\Jack Sony 1080 120 fps,No,C0123_c,,Cyclosalpa bakeri,Whorl, ,,no,yes,no,yes,,yes,120,,,
E:\Kelly\WestPalmBeach2021\10July2021\Field\Sony\C0125.MP4,No,C0125,NA,Cyclosalpa bakeri,Whorl,,,,No,NA,,,,,,Cyclosalpa bakeri aggregate - 4 zooids,Taken on ship?
E:\Kelly\WestPalmBeach_June_2021\10July2021\Field\sony,No,C0125,NA,Cyclosalpa bakeri,Whorl,,brightfield,,No,NA,,,,,,"has finger scale, 4 zooids",
E:\Kelly\WestPalmBeach2021\10July2021\Field\Sony\C0126.MP4,No,C0126,NA,Cyclosalpa bakeri,Whorl,,,,No,NA,,,,,,Cyclosalpa bakeri aggregate - 4 zooids,Taken on ship?
E:\Kelly\WestPalmBeach_June_2021\10July2021\Field\sony,No,C0126,NA,Cyclosalpa bakeri,Whorl,,brightfield,,No,NA,,,,,,"has finger scale, 4 zooids",
E:\Kelly\WestPalmBeach2021\10July2021\Field\Sony\C0129.MP4,No,C0129,NA,Cyclosalpa bakeri,Whorl,,,,No,NA,,,,,,Cyclosalpa bakeri aggregate - 6 zooids,Taken on ship?
E:\Kelly\WestPalmBeach_June_2021\10July2021\Field\sony,No,C0129,NA,Cyclosalpa bakeri,Whorl,,brightfield,,No,NA,,,,,,"has finger scale, 6 zooids",
E:\Kelly\WestPalmBeach2021\10July2021\Field\Sony\C0130.MP4,No,C0130,NA,Cyclosalpa bakeri,Whorl,,,,No,NA,,,,,,Cyclosalpa bakeri aggregate - 4 zooids,Taken on ship?
E:\Kelly\WestPalmBeach_June_2021\10July2021\Field\sony,No,C0130,NA,Cyclosalpa bakeri,Whorl,,brightfield,,No,NA,,,,,,"has finger scale, 4 zooids",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Jack Sony,No,c0132,NA,Ritteriella amboinensis,Bipinnate,,brightfield,yes,No,NA,,yes,,,,young,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Jack Sony,No,c0133,NA,Ritteriella amboinensis,Bipinnate,,brightfield,yes,No,NA,,yes,,,,"young, same specimen as c0132",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Jack Sony,No,c0135,NA,Cyclosalpa sewelli,Cluster,,brightfield,,No,NA,yes,,,,,5 zooid,
E:\Kona_Apr2022\Apr 19\Brad_Sony_daytime_4K_30fps,No,C0136,NA,Pegea sp.,Transversal,82,brightfield,No,No,NA,No,22,,30,,chain,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Brad Sony,No,c0164,NA,Cyclosalpa sewelli,Cluster,8,brightfield,,No,NA,yes,yes,,30,,,
D:\Kona_May_2023\Kona May 2023\May 7\Jack Sony 1080 120 fps,No,C0164,,Salpa maxima,Linear,2,,,yes,yes,,,yes,120,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Brad Sony,No,c0165_b,NA,Cyclosalpa affinis,Whorl,6,brightfield,,No,NA,yes,,,30,,Appears to be data taken on ship,
D:\Kona_May_2023\Kona May 2023\May 7\Jack Sony 1080 120 fps,No,C0165_j,,Cyclosalpa quadriluminis,Whorl,5,,yes,yes,yes,yes,,yes,120,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Brad Sony,No,c0167,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,yes,yes,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Brad Sony,No,c0171,NA,Cyclosalpa affinis,Whorl,6,brightfield,,No,NA,,,,,,Appears to be data taken on ship,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Brad Sony,No,c0182,NA,Cyclosalpa affinis,Whorl,,brightfield,yes,No,NA,yes,yes,,,,"young, Appears to be data taken on ship",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\Jack Sony,No,c0187,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,,yes,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Brad Sony,No,c0190,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,,,,,,3 zooid,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Brad Sony,No,c0191,NA,Cyclosalpa affinis,Whorl,,brightfield,yes,No,NA,,yes,,,,Appears to be data taken on ship,
D:\Kona_May_2023\Kona May 2023\May 8\Jack Sony 1080 120 fps,No,C0208,,Cyclosalpa bakeri,Whorl,7,,maybe,yes,yes,no,,yes,120,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Brad Sony,No,c0209,NA,Ritteriella amboinensis,Bipinnate,,brightfield,yes,No,NA,,yes,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Brad Sony,No,c0226,NA,Soestia zonaria,Linear,14,brightfield,,No,NA,,,,,,,
E:\PalmBeachSept2019\15Sept19\Field\JackSonyBrightfield,No,C0238,NA,Iasis cylindrica,Linear,,Brightfield,,No,NA,,,,,,chain,
E:\PalmBeachSept2019\15Sept19\Field\JackSonyBrightfield,No,C0239,NA,Iasis cylindrica,Linear,,Brightfield,,No,NA,,,,,,"chain, probably same specimen as C0238",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0246,NA,Cyclosalpa affinis,Whorl,,brightfield,yes,No,NA,,yes,,,,"4 zooid, one has amphipod. early embryos, Appears to be data taken on ship",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0251,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,,yes,,,,"10 zooids, stage 4-5 embryos",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0253,NA,Cyclosalpa quadriluminis,Whorl,3,brightfield,No,No,NA,0-5s,No,,30,,"Speed uploaded to GD 2D, 3 zooids, mid-term embryos, one has radiolarian",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0256,NA,Pegea sp.,Transversal,54,brightfield,yes,No,NA,yes,yes,,,,"long chain, young",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0259,NA,Cyclosalpa bakeri,Whorl,6,brightfield,yes,No,NA,yes,yes,,31,"Speeds uploaded to 2D drive, morph and whimber","6 zooids, stage 4-5 embryos",Copied to Anneliese folder
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\Brad Sony,No,c0279,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,yes,13s,,,,"11 zooids, peduncle amphipod, 1 stage 5 embryo+ 10 spent",
D:\Kona_Sept 2022\Sept 13\Brad Night_PIV_sony 4K_30fps,No,C0287,NA,Pegea sp.,Transversal,1,3 zooid,No,No,NA,No,No,,30,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\Brad sony,No,c0314,NA,Cyclosalpa sewelli,Cluster,,darkfield,,No,NA,,,,,,"4 zooids, one stage 5 embryo, 3 spent",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\Brad sony,No,c0326,NA,Salpa aspera,Linear,,darkfield,yes,No,NA,,6s,,,,8 zooids,
D:\Kona_Sept 2022\Sept 16\Brad Night PIV sony 4K 30fps,No,C0354,NA,Pegea sp.,Transversal,4,CSA,0-8s,No,NA,14s,35s,,30,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\Brad Sony,No,c0363,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,yes,yes,,,,6 zooids,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\Brad Sony,No,c0391,NA,Iasis cylindrica,Linear,,,,No,NA,no,yes,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAF agg 8_16.mp4,No,CAF agg 8_16.mp4,NA,Cyclosalpa affinis,Whorl chain,9,,No,No,No,Yes,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAF agg 8_22.mp4,No,CAF agg 8_22.mp4,NA,Cyclosalpa affinis,Whorl,9,,No,Yes,No,No,Yes,No,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAF agg SM 2_55.mp4.mp4,No,CAF agg SM 2_55.m2t.mp4,NA,Cyclosalpa affinis,Whorl chain,,,No,Yes,No,No,Yes,No,,,Whorl chain,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAF aggs 16_15.mp4,No,CAF aggs 16_15.mp4,NA,Cyclosalpa affinis,Whorl chain,,,No,No,No,No,Yes,Yes,,,Whorl chain,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAF aggs 16_48.mp4,No,CAF aggs 16_48.mp4,NA,Cyclosalpa affinis,Whorl chain,,,No,No,No,Yes,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAFaggsDye16_01.mp4,No,CAFaggsDye16_01.mp4,NA,Cyclosalpa affinis,Whorl chain,,,Maybe,Yes,Yes,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/CAFaggsDye17_03.mp4,No,CAFaggsDye17_03.mp4,NA,Cyclosalpa affinis,Whorl chain,,,No,Yes,Yes,No,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Iasis_cylindrica/CaptureTemp_0010-IasisCyl.mp4,No,CaptureTemp_0010-IasisCyl.mp4,NA,Iasis cylindrica,Linear,,,,,,,,,,,bad quality,
D:/VideosKellyPanama2005_MP4/Iasis_cylindrica/CaptureTemp_0011-IasisCyl.mp4,No,CaptureTemp_0011-IasisCyl.mp4,NA,Iasis cylindrica,Linear,12,,,No,No,No,,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CaptureTemp_0013-Cyclosalpa_blast.mp4,No,CaptureTemp_0013-Cyclosalpa_blast.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_pinnata/Cpin_23_35.mp4,No,Cpin_23_35.mp4,NA,Cyclosalpa pinnata,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_pinnata/CpinAgg16_39.mp4,No,CpinAgg16_39.mp4,NA,Cyclosalpa pinnata,Cluster,,,,No,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_pinnata/CpinAgg16_40.mp4.mp4,No,CpinAgg16_40.mp4.mp4,NA,Cyclosalpa pinnata,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO aggs 43_10.mp4,No,CPO aggs 43_10.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,32,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO JET OPENING SHAPE.mp4,No,CPO JET OPENING SHAPE.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO LENGTH.mp4,No,CPO LENGTH.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO LENGTH2.mp4,No,CPO LENGTH2.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO LENGTH3.mp4,No,CPO LENGTH3.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO SCALE .mp4,No,CPO SCALE .mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO SCALE4.mp4.mp4,No,CPO SCALE4.mp4.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO_agg_1_23.mp4,No,CPO_agg_1_23.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPO_agg_1_24.mp4,No,CPO_agg_1_24.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOaggDye53_30.mp4,No,CPOaggDye53_30.mp4,NA,Cyclosalpa polae,Cluster,32,,,,,,,,44,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOaggs_42_19.mp4,No,CPOaggs_42_19.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOaggsSwim_42_42.mp4,No,CPOaggsSwim_42_42.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOaggsSwim_44_09.mp4,No,CPOaggsSwim_44_09.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOlength41_50.mp4,No,CPOlength41_50.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOscale40_27.mp4,No,CPOscale40_27.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOtank18 (squeeze).mp4,No,CPOtank18 (squeeze).mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/CPOtank18(crop).mp4,No,CPOtank18(crop).mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/Cquadrilum39_41.mp4,No,Cquadrilum39_41.mp4,NA,Cyclosalpa quadriluminis,Whorl,5,,Yes,Yes,No,Yes,Yes,No,48,,In tank,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/CquadrilumAgg18_45(nice).mp4,No,CquadrilumAgg18_45(nice).mp4,NA,Cyclosalpa quadriluminis,Whorl,,,Yes,No,No,No,Yes,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/CquadrilumAgg19_20.mp4,No,CquadrilumAgg19_20.mp4,NA,Cyclosalpa quadriluminis,Whorl,3,,yes,no,no,no,yes,yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/Csew_agg_21_30.mp4,No,Csew_agg_21_30.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,No,No,Yes,Yes,Yes,,,Same as Csew_agg_23_40.mp4,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/Csew_agg_22_52.mp4,No,Csew_agg_22_52.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,No,No,Yes,Yes,Yes,,,Same as Csew_agg_23_40.mp4,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/Csew_agg_23_40.mp4,No,Csew_agg_23_40.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,No,No,Yes,Yes,No,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/Csew_agg_23_52.mp4,No,Csew_agg_23_52.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,No,No,Yes,Yes,Yes,,,Same as Csew_agg_23_40.mp4,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/Csew_agg_swim25_30.mp4,No,Csew_agg_swim25_30.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,No,No,Yes,Yes,Yes,,,Same as Csew_agg_23_40.mp4,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAgg17_40.mp4,No,CsewAgg17_40.mp4,NA,Cyclosalpa sewelli,Cluster,4,,Yes,No,No,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAgg24_29.mp4,No,CsewAgg24_29.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Yes,Yes,Yes,No,Yes,Yes,46,Speeds uploaded to drive,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAgg9_20.mp4,No,CsewAgg9_20.mp4,NA,Cyclosalpa sewelli,Cluster,7,,Yes,Yes,Yes,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAggDye19_50.mp4,No,CsewAggDye19_50.mp4,NA,Cyclosalpa sewelli,Cluster,11,,Yes,Yes,Yes,Yes,Yes,Yes,47,Speeds uploaded to drive,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAggDye24_25.mp4,No,CsewAggDye24_25.mp4,NA,Cyclosalpa sewelli,Cluster,3,,Maybe,Yes,Yes,Maybe,No,Yes,44,Speeds uploaded to drive,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/CsewAggs8_51.mp4,No,CsewAggs8_51.mp4,NA,Cyclosalpa sewelli,Cluster,7,,Yes,Yes,Maybe,No,Yes,Yes,47,Speeds uploaded to drive,,
E:\Panama 2017\S-J lab\Feb 28 2017,No,Cyclosalpa bakerii a,NA,Cyclosalpa bakeri,Whorl,,Brightfield,,No,NA,,,,,,,
E:\Panama 2017\S-J lab\Feb 28 2017,No,Cyclosalpa bakerii b,NA,Cyclosalpa bakeri,Whorl,,Brightfield,,No,NA,,,,,,,
E:\Panama 2017\S-J lab\Feb 28 2017,No,Cyclosalpa bakerii b scale,NA,Cyclosalpa bakeri,Whorl,,Brightfield,,No,NA,,,,,,,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0257,NA,Pegea sp.,Transversal,,natural lighting,,No,NA,,,,,,cjom,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0258,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0271,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0272,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0274,NA,Pegea sp.,Transversal,,natural lighting,,No,NA,,,,,,,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0280,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0282,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0285,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0291,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,out of focus,
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0294,NA,Iasis cylindrica,Linear,,Iasis cylindrica,,No,NA,,,,,,"out of focus, reversing",
E:\Panama 2017\B-K data\02_28_2017\in situ,No,DSC_0300,NA,Iasis cylindrica,Linear,,Iasis cylindrica,,No,NA,,,,,,"out of focus, reversing, short chain",
E:\Panama 2017\B-K data\03_02_2017\in situ,No,DSC_0381,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,"chain, pregnant",
E:\Panama 2017\B-K data\03_02_2017\in situ,No,DSC_0387,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,chain,
E:\Panama 2017\B-K data\03_02_2017\in situ,No,DSC_0389,NA,Iasis cylindrica,Linear,,natural lighting,,No,NA,,,,,,short chain,
D:\Kona_May_2023\Kona May 2023\May 6\GoProStereo 4k 60fps\Left,gopro,GL10181.LRV,,Cyclosalpa bakeri,Whorl,,,,,,,,no,60,,,
D:\Kona_May_2023\Kona May 2023\May 6\GoProStereo 4k 60fps\Left,gopro,GL10184.LRV,,Cyclosalpa bakeri,Whorl,,,,,,,,no,60,,,
D:\Kona_May_2023\Kona May 2023\May 6\GoProStereo 4k 60fps\Left,gopro,GL10185.LRV,,Cyclosalpa bakeri,Whorl,,,,,,,,no,60,,,
D:\Kona_May_2023\Kona May 2023\May 9\Brad 3D gopro 4K 120 fps\Left cam,gopro,GL10404.LRV,,Cyclosalpa quadriluminis,Whorl,12,,LOTS,no,no,"1:10, 1:36",yes,yes,120,,,
D:\Kona_May_2023\Kona May 2023\May 10\Brad 3D gopro 4K 120 fps\Left cam,gopro,GL10535.LRV,,Pegea sp.,Transversal,,,yes,no,no,no,yes,yes,120,,,
D:\Kona_May_2023\Kona May 2023\May 10\Brad 3D gopro 4K 120 fps\Left cam,gopro,GL10538.LRV,,Cyclosalpa affinis,WhorlChain2,15,,yes,no,no,around 0:18,yes,yes,120,,,
D:\Kona_May_2023\Kona May 2023\May 10\Brad 3D gopro 4K 120 fps\Left cam,gopro,GL10542.LRV,,Pegea sp.,Transversal,,,yes,no,no,no,,yes,120,,,
D:\Kona_May_2023\Kona May 2023\May 10\Brad 3D gopro 4K 120 fps\Left cam,gopro,GL10545.LRV,,Iasis cylindrica,Linear,,,yes,no,no,~00:53,yes,yes,120,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010013.MP4,Yes,GX010013,,Pegea sp.,Transversal,27,,No,No,NA,6s,22s,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010013,GX010011,Pegea sp.,Transversal,27,same as GX...88,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010014.MP4,Yes,GX010014,,Salpa fusiformis,Linear,,,,No,NA,,,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010014,GX010012,Iasis cylindrica,Linear,,,,No,NA,,,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010016,GX010014,Brooksia rostrata,Bipinnate,,7 zooid,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010018.MP4,Yes,GX010018,,Cyclosalpa sewelli,Cluster,,,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010018.MP4,Yes,GX010018,,Cyclosalpa sewelli,Cluster,,,,No,NA,,,,60,,duplicate,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010018,GX010017,Cyclosalpa sewelli,Cluster,,stage 4 pregnant,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010020.MP4,Yes,GX010020,,Salpa fusiformis,Linear,,,,No,NA,,,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010020,GX010018,Salpa fusiformis,Linear,,,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010021.MP4,Yes,GX010021,,Salpa fusiformis,Linear,,,,No,NA,,,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010021,GX010019,Salpa fusiformis,Linear,,3 zooids,,No,NA,,,,60,,,
E:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left\GX010022.MP4,Yes,GX010022,,Ritteriella amboinensis,Bipinnate,,,,No,NA,,,,60,,,
D:\Kona_Sept 2022\Sept 11\Kelly_Night_GoProStereo_4K_60fps\Left,Yes,GX010022,GX010020,Ritteriella sp.,Bipinnate,25,"fluorescein, same as GX...116",24-28s,No,NA,No,No,,60,,,
