Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)
74	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	30	P5	6.53	NA		No temperature measured.	
75	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	30	P3 control	6.66	NA	Control local seawater	No temperature measured.	
76	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	45	P1	6.48	NA		No temperature measured.	
77	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	45	P2	5.36	NA		No temperature measured.	
78	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	45	P4	6.46	NA		No temperature measured.	
79	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	45	P5	6.51	NA		No temperature measured.	
80	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	45	P3 control	6.66	NA	Control local seawater	No temperature measured.	
81	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	60	P1	6.45	NA		No temperature measured.	
82	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	60	P2	5.12	NA		No temperature measured.	
83	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	60	P4	6.38	NA		No temperature measured.	
84	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	60	P5	6.46	NA		No temperature measured.	
85	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	60	P3 control	6.61	NA	Control local seawater	No temperature measured.	
86	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	90	P1	6.36	NA		No temperature measured.	
87	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	90	P2	4.66	NA		No temperature measured.	
88	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	90	P4	6.36	NA		No temperature measured.	
89	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	90	P5	6.44	NA		No temperature measured.	
90	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	90	P3 control	6.57	NA	Control local seawater	No temperature measured.	
91	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	120	P1	6.3	NA		No temperature measured.	
92	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	120	P2	4.31	NA		No temperature measured.	
93	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	120	P4	6.3	NA		No temperature measured.	
94	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	120	P5	6.38	NA		No temperature measured.	
95	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	120	P3 control	6.53	NA	Control local seawater	No temperature measured.	
96	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	150	P1	6.28	NA		No temperature measured.	
97	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	150	P2	4	NA		No temperature measured.	
98	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	150	P4	6.23	NA		No temperature measured.	
99	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	150	P5	6.33	NA		No temperature measured.	
100	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	150	P3 control	6.52	NA	Control local seawater	No temperature measured.	
101	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	180	P1	6.27	NA		No temperature measured.	
102	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	180	P2	3.79	NA		No temperature measured.	
103	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	180	P4	6.22	NA		No temperature measured.	
104	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	180	P5	6.33	NA		No temperature measured.	
105	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	180	P3 control	6.52	NA	Control local seawater	No temperature measured.	
106	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	300	P1	5.99	NA		No temperature measured.	
107	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	300	P2	2.61	NA		No temperature measured.	
108	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	300	P4	5.86	NA		No temperature measured.	
109	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	300	P5	6.01	NA		No temperature measured.	
110	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	300	P3 control	6.31	NA	Control local seawater	No temperature measured.	
111	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	0	P1	6.41	26.6	1 zooid popped off. Pregnant with large embryos.		
112	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	0	P2	6.32	26.6	Pregnant with small embryos		
113	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	0	P4	6.42	26.6			
114	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	0	P5	6.48	26.6	Pregnant with big embryos		
115	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	0	P3 control	6.54	26.6	Control local seawater		
116	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	15	P1	6.47	26.2	1 zooid popped off. Pregnant with large embryos.		
117	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	15	P2	6.36	26.2	Pregnant with small embryos		
118	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	15	P4	6.51	26.2			
119	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	15	P5	6.57	26.2	Pregnant with big embryos		
120	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	15	P3 control	6.62	26.2	Control local seawater		
121	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	30	P1	6.44	26.2	1 zooid popped off. Pregnant with large embryos.		
122	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	30	P2	6.32	26.2	Pregnant with small embryos		
123	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	30	P4	6.51	26.2			
124	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	30	P5	6.57	26.2	Pregnant with big embryos		
125	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	30	P3 control	6.62	26.2	Control local seawater		
126	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	45	P1	6.39	26.2	1 zooid popped off. Pregnant with large embryos.		
127	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	45	P2	6.29	26.2	Pregnant with small embryos		
128	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	45	P4	6.5	26.2			
129	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	45	P5	6.56	26.2	Pregnant with big embryos		
130	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	45	P3 control	6.6	26.2	Control local seawater		
131	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	60	P1	6.33	26.2	1 zooid popped off. Pregnant with large embryos.		
132	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	60	P2	6.2	26.2	Pregnant with small embryos		
133	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	60	P4	6.49	26.2			
134	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	60	P5	6.55	26.2	Pregnant with big embryos		
135	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	60	P3 control	6.58	26.2	Control local seawater		
136	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	90	P1	6.33	25.7	1 zooid popped off. Pregnant with large embryos.		
137	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	90	P2	6.18	25.7	Pregnant with small embryos		
138	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	90	P4	6.53	25.7			
139	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	90	P5	6.59	25.7	Pregnant with big embryos		
140	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	90	P3 control	6.63	25.7	Control local seawater		
141	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	120	P1	6.26	25.7	1 zooid popped off. Pregnant with large embryos.		
142	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	120	P2	6.09	25.7	Pregnant with small embryos		
143	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	120	P4	6.47	25.7			
144	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	120	P5	6.54	25.7	Pregnant with big embryos		
145	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	120	P3 control	6.63	25.7	Control local seawater		
146	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	150	P1	6.16	25.6	1 zooid popped off. Pregnant with large embryos.		
147	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	150	P2	5.98	25.6	Pregnant with small embryos		
148	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	150	P4	6.45	25.6			
149	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	150	P5	6.52	25.6	Pregnant with big embryos		
150	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	150	P3 control	6.61	25.6	Control local seawater		
151	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	180	P1	5.81	27.1	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air	
152	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	180	P2	5.62	27.1	Pregnant with small embryos	Temperature measured in air	
153	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2		Plastic	Intact	Moderate		9/21/2021	5	180	P4	6.1	27.1		Temperature measured in air	
154	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1		Plastic	Intact	Moderate		9/21/2021	5	180	P5	6.18	27.1	Pregnant with big embryos	Temperature measured in air	
155	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/21/2021	5	180	P3 control	6.28	27.1	Control local seawater	Temperature measured in air	
156	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4		Plastic	Intact	Moderate		9/21/2021	5	360	P1	5.53	27.2	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air	
157	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6		Plastic	Intact	Moderate		9/21/2021	5	360	P2	5.24	27.2	Pregnant with small embryos	Temperature measured in air	
