Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)	Injection time	Start time
559	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	0	P4	6.35	25.3	One zooid broke off		208	23:36	23:40
560	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	0	P5	6.09	25.3			208	NA	23:40
561	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	0	P6	5.71	25.3	Half broke off		980	23:32	23:40
562	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	0	P7	6.44	25.3			980	NA	23:40
563	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	15	P1	6.32	24.8	A few broke off		208		
564	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	15	P2	6.33	24.8	A few broke off		208		
565	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	15	P3 control	6.43	24.8	Control local seawater	Bubble found	72		
566	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	15	P4	6.41	24.8	One zooid broke off		208		
567	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	15	P5	6.03	24.8			208		
568	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	15	P6	5.75	24.8	Half broke off		980		
569	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	15	P7	6.53	24.8			980		
570	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	30	P1	6.29	24.5	A few broke off		208		
571	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	30	P2	6.33	24.5	A few broke off		208		
572	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	30	P3 control	6.41	24.5	Control local seawater	Bubble found	72		
573	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	30	P4	6.41	24.5	One zooid broke off		208		
574	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	30	P5	5.97	24.5			208		
575	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	30	P6	5.73	24.5	Half broke off		980		
576	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	30	P7	6.54	24.5			980		
577	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	60	P1	6.33	23.6	A few broke off		208		
578	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	60	P2	6.36	23.6	A few broke off		208		
579	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	60	P3 control	6.46	23.6	Control local seawater	Bubble found	72		
580	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	60	P4	6.46	23.6	One zooid broke off		208		
581	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	60	P5	5.88	23.6			208		
582	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	60	P6	5.67	23.6	Half broke off		980		
583	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	60	P7	6.6	23.6			980		
584	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	90	P1	6.29	23.8	A few broke off		208		
585	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	90	P2	6.33	23.8	A few broke off		208		
586	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	90	P3 control	6.48	23.8	Control local seawater	Bubble found	72		
587	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	90	P4	6.43	23.8	One zooid broke off		208		
588	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	90	P5	5.78	23.8			208		
589	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	90	P6	5.57	23.8	Half broke off		980		
590	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	90	P7	6.57	23.8			980		
591	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	120	P1	6.27	24.1	A few broke off		208		
592	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	120	P2	6.28	24.1	A few broke off		208		
593	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	120	P3 control	6.52	24.1	Control local seawater	Bubble found	72		
594	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	120	P4	6.45	24.1	One zooid broke off		208		
595	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	120	P5	5.69	24.1			208		
596	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	120	P6	5.54	24.1	Half broke off		980		
597	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	120	P7	6.54	24.1			980		
598	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	150	P1	6.34	23.9	A few broke off		208		
599	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	150	P2	6.35	23.9	A few broke off		208		
600	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	150	P3 control	6.54	23.9	Control local seawater	Bubble found	72		
601	D28-Bros-B-1	Brooksia rostrata	Blastozooid	7	9	0.45	Plastic	Anesthetized	Anesthetized		6/27/2022	15	150	P4	6.47	23.9	One zooid broke off		208		
602	D28-Sasp-B-1	Salpa aspera	Blastozooid	20	10	3.3	Plastic	Intact	Active		6/27/2022	15	150	P5	5.63	23.9			208		
603	D28-Sasp-B-2	Salpa aspera	Blastozooid	22	57	16.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	150	P6	5.54	23.9	Half broke off		980		
604	D28-Sfus-B1	Salpa fusiformis	Blastozooid	12	19	1.8	Plastic	Intact	Active		6/27/2022	15	150	P7	6.53	23.9			980		
605	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Intact	Active		6/28/2022	16	0	P1	6.18	25.8		Paired	208		23:17
606	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Intact	Active		6/28/2022	16	30	P1	6.18	24.9		Paired	208		
607	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Intact	Active		6/28/2022	16	60	P1	6.15	24.3		Paired	208		
608	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Intact	Active		6/28/2022	16	90	P1	6.17	23.9		Paired	208		
609	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Intact	Active		6/28/2022	16	120	P1	6.16	23.6		Paired	208	1:23	
610	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Anesthetized	Anesthetized		6/28/2022	16	153	P1	6.16	23.4		Paired	208		1:53
611	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Anesthetized	Anesthetized		6/28/2022	16	183	P1	6.16	23.4		Paired	208		
612	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Anesthetized	Anesthetized		6/28/2022	16	213	P1	6.11	23.4		Paired	208		
613	D29-Szon-B-1	Soestia zonaria	Blastozooid	7	9	0.7	Plastic	Anesthetized	Anesthetized		6/28/2022	16	243	P1	6.12	23.2		Paired	208		
614	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Intact	Active		6/28/2022	16	0	P2	6.19	25.8	Couple zooids broke off	Paired	208		23:17
615	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Intact	Active		6/28/2022	16	30	P2	6.25	24.9	Couple zooids broke off	Paired	208		
616	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Intact	Active		6/28/2022	16	60	P2	6.16	24.3	Couple zooids broke off	Paired	208		
617	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Intact	Active		6/28/2022	16	90	P2	6.24	23.9	Couple zooids broke off	Paired	208		
618	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Intact	Active		6/28/2022	16	120	P2	6.25	23.6	Couple zooids broke off	Paired	208	1:24	
619	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Anesthetized	Anesthetized		6/28/2022	16	153	P2	6.23	23.4	Couple zooids broke off	Paired	208		1:53
620	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Anesthetized	Anesthetized		6/28/2022	16	183	P2	6.2	23.4	Couple zooids broke off	Paired	208		
621	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Anesthetized	Anesthetized		6/28/2022	16	213	P2	6.17	23.4	Couple zooids broke off	Paired	208		
622	D29-Bros-B-1	Brooksia rostrata	Blastozooid	6	8	0.23	Plastic	Anesthetized	Anesthetized		6/28/2022	16	243	P2	6.16	23.2	Couple zooids broke off	Paired	208		
623	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/28/2022	16	0	P3 control	6.25	25.8	Control local seawater	Paired	72		23:17
624	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/28/2022	16	30	P3 control	6.3	24.9	Control local seawater	Paired	72		
625	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/28/2022	16	60	P3 control	6.27	24.3	Control local seawater	Paired	72		
626	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/28/2022	16	90	P3 control	6.34	23.9	Control local seawater	Paired	72		
627	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/28/2022	16	120	P3 control	6.36	23.6	Control local seawater	Paired	72	1:26	
628	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/28/2022	16	153	P3 control	6.37	23.4	Control local seawater	Paired	72		1:53
629	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/28/2022	16	183	P3 control	6.34	23.4	Control local seawater	Paired	72		
630	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/28/2022	16	213	P3 control	6.35	23.4	Control local seawater	Paired	72		
631	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	NA		6/28/2022	16	243	P3 control	6.34	23.2	Control local seawater	Paired	72		
632	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Intact	Moderate		6/28/2022	16	0	P4	6.05	25.8		Paired	208		23:17
633	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Intact	Moderate		6/28/2022	16	30	P4	6.07	24.9		Paired	208		
634	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Intact	Moderate		6/28/2022	16	60	P4	5.95	24.3		Paired	208		
635	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Intact	Moderate		6/28/2022	16	90	P4	5.95	23.9		Paired	208		
636	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Intact	Moderate		6/28/2022	16	120	P4	5.91	23.6		Paired	208	1:28	
637	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Anesthetized	Anesthetized		6/28/2022	16	153	P4	5.87	23.4		Paired	208		1:53
638	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Anesthetized	Anesthetized		6/28/2022	16	183	P4	5.82	23.4		Paired	208		
639	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Anesthetized	Anesthetized		6/28/2022	16	213	P4	5.77	23.4		Paired	208		
640	D29-Csew-B-1	Cyclosalpa sewelli	Blastozooid	19	5	4.5	Plastic	Anesthetized	Anesthetized		6/28/2022	16	243	P4	5.73	23.2		Paired	208		
641	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Intact	Active		6/28/2022	16	0	P5	6.2	25.8	Couple zooids broke off	Paired	208		23:17
642	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Intact	Active		6/28/2022	16	30	P5	6.23	24.9	Couple zooids broke off	Paired	208		
643	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Intact	Active		6/28/2022	16	60	P5	6.19	24.3	Couple zooids broke off	Paired	208		
644	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Intact	Active		6/28/2022	16	90	P5	6.25	23.9	Couple zooids broke off	Paired	208		
645	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Intact	Active		6/28/2022	16	120	P5	6.27	23.6	Couple zooids broke off	Paired	208	1:29	
646	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Anesthetized	Anesthetized		6/28/2022	16	153	P5	6.25	23.4	Couple zooids broke off	Paired	208		1:53
647	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Anesthetized	Anesthetized		6/28/2022	16	183	P5	6.22	23.4	Couple zooids broke off	Paired	208		
648	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Anesthetized	Anesthetized		6/28/2022	16	213	P5	6.18	23.4	Couple zooids broke off	Paired	208		
649	D29-Bros-B-2	Brooksia rostrata	Blastozooid	7	17	1.1	Plastic	Anesthetized	Anesthetized		6/28/2022	16	243	P5	6.16	23.2	Couple zooids broke off	Paired	208		
650	D29-Smax-B-1a	Salpa maxima	Blastozooid	115	3	55	Plastic	Anesthetized	Anesthetized		6/28/2022	16	0	P6	6.04	25.8	1/3 zooids broke, amphipods		980	23:15	23:17
651	D29-Smax-B-1a	Salpa maxima	Blastozooid	115	3	55	Plastic	Anesthetized	Anesthetized		6/28/2022	16	30	P6	6.01	24.9	1/3 zooids broke, amphipods		980		
652	D29-Smax-B-1a	Salpa maxima	Blastozooid	115	3	55	Plastic	Anesthetized	Anesthetized		6/28/2022	16	60	P6	5.83	24.3	1/3 zooids broke, amphipods		980		
653	D29-Smax-B-1a	Salpa maxima	Blastozooid	115	3	55	Plastic	Anesthetized	Anesthetized		6/28/2022	16	90	P6	5.83	23.9	1/3 zooids broke, amphipods		980		
654	D29-Smax-B-1a	Salpa maxima	Blastozooid	115	3	55	Plastic	Anesthetized	Anesthetized		6/28/2022	16	120	P6	5.72	23.6	1/3 zooids broke, amphipods		980		
655	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Intact	Active		6/28/2022	16	0	P7	5.8	25.8	2/4 zooids broke, amphipods, poop	Paired	980		23:17
656	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Intact	Active		6/28/2022	16	30	P7	5.36	24.9	2/4 zooids broke, amphipods, poop	Paired	980		
657	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Intact	Active		6/28/2022	16	60	P7	4.84	24.3	2/4 zooids broke, amphipods, poop	Paired	980		
658	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Intact	Active		6/28/2022	16	90	P7	4.51	23.9	2/4 zooids broke, amphipods, poop	Paired	980		
659	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Intact	Active		6/28/2022	16	120	P7	4.12	23.6	2/4 zooids broke, amphipods, poop	Paired	980	1:31	
660	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Anesthetized	Anesthetized		6/28/2022	16	153	P7	3.94	23.4	2/4 zooids broke, amphipods, poop	Paired	980		1:53
661	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Anesthetized	Anesthetized		6/28/2022	16	183	P7	3.78	23.4	2/4 zooids broke, amphipods, poop	Paired	980		
662	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Anesthetized	Anesthetized		6/28/2022	16	213	P7	3.61	23.4	2/4 zooids broke, amphipods, poop	Paired	980		
663	D29-Smax-B-1b	Salpa maxima	Blastozooid	115	4	53	Plastic	Anesthetized	Anesthetized		6/28/2022	16	243	P7	3.43	23.2	2/4 zooids broke, amphipods, poop	Paired	980		
664	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P1	6.1	NA		No temperature recorded, strange O2 values	208	23:56	12:03
665	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P1	6.16	25.7			208		
666	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P1	6.17	25.4			208		
667	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P1	6.16	25.1			208		
668	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P1	6.17	25			208		
669	D30-Ramb-B-1	Ritteriella amboinensis	Blastozooid	18	3	1.5	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P1	6.19	24.8			208		
670	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P2	6	NA	Some broken zooids	No temperature recorded, strange O2 values	208	23:57	12:03
671	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P2	6.03	25.7	Some broken zooids		208		
672	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P2	6.02	25.4	Some broken zooids		208		
673	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P2	6.03	25.1	Some broken zooids		208		
674	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P2	5.96	25	Some broken zooids		208		
675	D30-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	11	9	12	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P2	5.97	24.8	Some broken zooids		208		
676	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P3 control	6.25	NA	Collected in deeper water, no refresh	No temperature recorded, strange O2 values	72	23:57	12:04
677	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P3 control	6.27	25.7	Collected in deeper water, no refresh		72		
678	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P3 control	6.28	25.4	Collected in deeper water, no refresh		72		
679	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P3 control	6.27	25.1	Collected in deeper water, no refresh		72		
680	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P3 control	6.26	25	Collected in deeper water, no refresh		72		
681	NA	NA	NA	NA	NA	NA	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P3 control	6.3	24.8	Collected in deeper water, no refresh		72		
682	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P4	6.13	NA		No temperature recorded, strange O2 values	208	23:59	12:04
683	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P4	6.2	25.7			208		
684	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P4	6.2	25.4			208		
685	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P4	6.2	25.1			208		
686	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P4	6.19	25			208		
687	D30-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	0.8	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P4	6.23	24.8			208		
688	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	0	P5	6.22	NA	Air bubble found	No temperature recorded, strange O2 values	208		12:05
689	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	30	P5	6.26	25.7	Air bubble found		208		
690	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	58	P5	6.22	25.4	Air bubble found		208		
691	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	86	P5	6.22	25.1	Air bubble found		208		
692	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	114	P5	6.22	25	Air bubble found		208		
693	D30-Ramb-B-3	Ritteriella amboinensis	Blastozooid	17	5	1.4	Plastic	Intact	Moderate		6/29/2022	17	142	P5	6.22	24.8	Air bubble found		208		
694	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P6	6.23	NA		No temperature recorded, strange O2 values	980	12:01	12:05
695	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P6	6.32	25.7			980		
696	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P6	6.31	25.4			980		
697	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P6	6.33	25.1			980		
698	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P6	6.3	25			980		
699	D30-Pco-B-1	Pegea confoederata	Blastozooid	36	5	15	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P6	6.28	24.8			980		
700	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	0	P7	5.91	NA		No temperature recorded, strange O2 values	980	12:02	12:06
701	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	30	P7	6.04	25.7			980		
702	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	58	P7	5.95	25.4			980		
703	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	86	P7	5.96	25.1			980		
704	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	114	P7	5.93	25			980		
705	D30-Ramb-B-4	Ritteriella amboinensis	Blastozooid	22	38	6.3	Plastic	Anesthetized	Anesthetized		6/29/2022	17	142	P7	5.9	24.8			980		
706	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	0	P1	6.04	26.3	Poop		208	21:37	21:44
707	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	30	P1	5.89	25.7	Poop		208		
708	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	60	P1	5.74	25.4	Poop		208		
709	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	90	P1	5.66	24.6	Poop		208		
710	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	120	P1	5.68	24	Poop		208		
711	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	150	P1	5.5	23.8	Poop		208		
712	D31-Caff-B-1	Cyclosalpa affinis	Blastozooid	32	8	5.5	Plastic	Anesthetized	Anesthetized		6/30/2022	18	180	P1	5.41	23.3	Poop		208		
713	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	0	P2	6.23	26.3	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208	21:37	21:44
714	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	30	P2	6.15	25.7	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
715	D31-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	13	16	2.8	Plastic	Anesthetized	Anesthetized		6/30/2022	18	60	P2	6.11	25.4	Very long peduncles	Only 1/2 colony was measured for volume, then multiplied by 2 	208		
