Filename	File.type	Source	Authorship	Species	Stage	Specimen_type	Specimen	Architecture	Orientation	Trait	State	Notes
Img0146	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	22.31	ignoring out-of-focus bent rear end of the colony, Img0149 used for scale, zooid width verified
Img0146	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	10.72	ignoring out-of-focus bent rear end of the colony, Img0149 used for scale, zooid width verified
Img0146	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	20.89	ignoring out-of-focus bent rear end of the colony, Img0149 used for scale, zooid width verified
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	11.13	
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	10.25	
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	10.44	
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	28.23	including projections
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	34.15	including projections
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.length..mm.	24.39	including projections
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.number	13	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Colony.length.mm.	132.9	
KonaJJ22-029	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Stolonormal	Cross.sectional.area..mm2.	2188.58	using the scale of KonaJJ22-020
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Colony.diameter..mm.	57.1	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Colony.diameter..mm.	44.45	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Colony.diameter..mm.	47.83	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.width..mm.	19.18	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.width..mm.	21.43	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.width..mm.	25.22	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.length..mm.	39.12	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.length..mm.	37.21	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	Aggs	FreshLabTecto	D27-Hyou-B-1	Helical	Lateral	Zooid.length..mm.	34	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.number	3	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Colony.length.mm.	26.15	
KonaJJ22-056	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	Stolonormal	Cross.sectional.area..mm2.	116.78	
KonaJJ22-056	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	8.87	
KonaJJ22-056	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	15.09	
KonaJJ22-056	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	Stolonormal	Colony.diameter..mm.	9.18	
KonaJJ22-046	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D27-Ramb-B-1	Bipinnate	OAnormal	Zooid.width..mm.	8.28	
