Filename	File.type	Source	Authorship	Species	Specimen_type	Specimen	Architecture	Trait	State	Notes
KonaMay23_0090	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D48-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	89.30	
KonaMay23_0090	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D48-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	89.19	
KonaMay23_0090	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D48-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	88.64	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaMay23_0068	JPG	Kona May 2023	Alejandro Damian-Serrano	Thalia cicar	FreshSpecimen	D48-Tcic-B-2	Oblique	DV_Zooid.stolon.angle	47.66	
KonaMay23_0068	JPG	Kona May 2023	Alejandro Damian-Serrano	Thalia cicar	FreshSpecimen	D48-Tcic-B-2	Oblique	DV_Zooid.stolon.angle	48.05	
KonaMay23_0068	JPG	Kona May 2023	Alejandro Damian-Serrano	Thalia cicar	FreshSpecimen	D48-Tcic-B-2	Oblique	DV_Zooid.stolon.angle	49.04	
KonaMay23_0105	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D51-Cpol-B-3	Cluster	DV_Zooid.stolon.angle	88.27	
KonaMay23_0105	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D51-Cpol-B-3	Cluster	DV_Zooid.stolon.angle	87.03	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaMay23_0105	JPG	Kona May 2023	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D51-Cpol-B-3	Cluster	DV_Zooid.stolon.angle	89.19	"lateral view of zooid, used endostyle and tip of viscerae for angle"
D27-Cpin-B-1.mp4 07:32:44:20	MP4	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa pinnata	FreshSpecimen	D27-Cpin-B-1 (GoPro)	Cluster	DV_Zooid.stolon.angle	89.59	Used viscera for zooid axis
D27-Cpin-B-1.mp4 07:32:44:20	MP4	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa pinnata	FreshSpecimen	D27-Cpin-B-1 (GoPro)	Cluster	DV_Zooid.stolon.angle	86.13	Used viscera for zooid axis
D27-Cpin-B-1.mp4 07:32:44:20	MP4	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa pinnata	FreshSpecimen	D27-Cpin-B-1 (GoPro)	Cluster	DV_Zooid.stolon.angle	89.25	Used viscera for zooid axis
tape3_scale41_14 00:02	M2T	LJL Vegas Clips	Kelly Sutherland	Salpa thompsoni	FreshSpecimen	Vegas tape3_scale41_14	Linear	DV_Zooid.stolon.angle	18.44	
tape3_scale41_14 00:02	M2T	LJL Vegas Clips	Kelly Sutherland	Salpa thompsoni	FreshSpecimen	Vegas tape3_scale41_14	Linear	DV_Zooid.stolon.angle	17.09	
tape3_scale41_14 00:02	M2T	LJL Vegas Clips	Kelly Sutherland	Salpa thompsoni	FreshSpecimen	Vegas tape3_scale41_14	Linear	DV_Zooid.stolon.angle	17.65	
