Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D19-Pso-B-2	Pegea sp.	10	4/21/2022	Moderate	65	5	50	980		No	120	1.2	Intact	-0.0111619990983106	0.000261827246930284	-0.0114238263452409	-223.239981966213	-228.476526904819
D19-Pso-B-3	Pegea sp.	10	4/21/2022	Moderate	65	1	18	208	Single blastozooid	No	120	1.2	Intact	-0.00168404593311586	0.000261827246930284	-0.00194587318004615	-93.5581073953257	-108.104065558119
D21-BR-B-1	Brooksia rostrata	11	4/22/2022	Moderate	4	14	0.2	208	Colony disintegrated into loose zooids after refresh during safety stop	No	150	1.2	Intact	0.000171103313840159	5.51578947368425e-05	0.000115945419103316	855.516569200792	579.72709551658
D21-Icyl-B-1	Iasis (Weelia) cylindrica	11	4/22/2022	Moderate	7	21	1.3	208		No	150	1.2	Intact	-0.000157723196881089	5.51578947368425e-05	-0.000212881091617932	-121.325536062376	-163.754685859948
D21-Icyl-B-2A	Iasis (Weelia) cylindrica	11	4/22/2022	Very active	15	28	6	980	Same specimen as D21-Icyl-B-2B, broken up from larger colony	No	150	1.2	Intact	-0.00173458089668614	5.51578947368425e-05	-0.00178973879142299	-289.096816114357	-298.289798570498
D21-Icyl-B-2B	Iasis (Weelia) cylindrica	11	4/22/2022	Very active	15	15	3	980	Same specimen as D21-Icyl-B-2A, broken up from larger colony	No	150	1.2	Intact	-0.000108888888888895	5.51578947368425e-05	-0.000164046783625738	-36.2962962962985	-54.6822612085793
D22-Rsp-B-1	Ritteriella sp.	20	9/11/2022	Anesthetized	25	25	11	980		No	180	1.8	Anesthetized	-0.000261257780347627	0.000251261113567565	-0.000512518893915192	-23.7507073043297	-46.5926267195629
D23-Cpol-B-1	Cyclosalpa sewelli	12	4/24/2022	Moderate	35	1	2.4	208	Single blastozooid	No	123	1.1	Intact	-0.000245333333333336	7.4340999206977e-05	-0.000319674332540313	-102.222222222223	-133.197638558464
D23-Icyl-B-1	Iasis (Weelia) cylindrica	12	4/24/2022	Active	15	44	14.1	980	Caught ~60ft deep, broke into subchains	No	123	1.1	Intact	-0.00318221517314303	7.4340999206977e-05	-0.00325655617235001	-225.689019371846	-230.961430663121
D23-Pso-B-1	Pegea sp.	12	4/24/2022	Moderate	30	22	44	980		No	123	1.1	Intact	-0.00704315093840869	7.4340999206977e-05	-0.00711749193761567	-160.071612236561	-161.761180400356
D23-Ramb-B-1	Ritteriella amboinensis	12	4/24/2022	Moderate	40	23	40	208	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.	No	123	1.1	Intact	-0.00163815807560138	7.4340999206977e-05	-0.00171249907480835	-40.9539518900344	-42.8124768702088
D25-BR-B-1	Brooksia rostrata	13	4/25/2022	Moderate	4	60	1	208		No	126	1.2	Intact	0.000187342179332526	0.000254459187776433	-6.71170084439075e-05	187.342179332526	-67.1170084439075
