"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0177_20210709184827_0001",75,0.0104,-17.59,63.145,-732.109,"0",45.244,68.514,-877.288,-0.0099,-62.834,-5.36899999999999,145.179,-172.063,-206.939,318.147,416.709658274199,-4209.18846741616,"Iasis cylindrica","Linear",16,"Weelia chain (sm); Dyphid-? Comes into view",4209.18846741616,263.07427921351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0114_20210709170545_0001",80,0.0111,-18.054,9.526,-284.657,"0",95.687,11.693,-346.608,0.000700000000000001,-113.741,-2.167,61.951,-50.263,6.97299999999999,-89.1249999999999,102.55855655673,14651.2223652471,"Brooksia rostrata","Bipinnate",33,"",14651.2223652471,443.976435310519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",80,0.1394,4.858,-42.072,-485.142,"0",79.17,29.809,-410.279,0.1283,-74.312,-71.881,-74.863,117.49,-50.572,345.653,368.561288923566,287.265229090854,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",287.265229090854,20.518944935061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",80,0.1394,4.858,-42.072,-485.142,"0",79.17,29.809,-410.279,0.1283,-74.312,-71.881,-74.863,117.49,-50.572,345.653,368.561288923566,287.265229090854,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",287.265229090854,28.7265229090854,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0211_20210710142218_0001",80,0.0111,39.957,-7.109,-397.361,"0",34.797,6.51,-391.892,-0.1283,5.16,-13.619,-5.46899999999999,42.776,-26.24,93.444,106.06651173674,-82.6707028345596,"Cyclosalpa bakeri","Whorl",6,"",82.6707028345596,13.7784504724266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0349_20210922220958_0001",80,0.0111,-88.971,15.226,-451.566,"0",4.825,10.158,-441.627,-0.8657,-93.796,5.068,-9.93899999999996,-11.834,-86.97,117.593,146.737650604744,-16.9501733400421,"Ritteriella sp.","Bipinnate",31,"dye",16.9501733400421,0.546779785162648,NA,NA,23.682,16.25,NA,NA,NA,193859.371875,8.74354083380168e-05
"A002C0044_20220421224612_0002",80,0.0222,-3.627,5.66,-372.464,"0",50.755,27.684,-499.525,0.0111,-54.382,-22.024,127.061,-60.625,1.675,350.857,356.060150394565,3207.74910265374,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",3207.74910265374,188.691123685514,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",85,0.0118,30.426,48.283,-417.649,"0",6.703,47.357,-540.565,-0.0104,23.723,0.926000000000002,122.916,-4.776,8.108,-61.057,61.7778851127165,-594.018126083812,"Iasis cylindrica","Linear",44,"Weelia agg- nice sequence (3 separate chains)",594.018126083812,13.5004119564503,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",85,0.0118,30.426,48.283,-417.649,"0",6.703,47.357,-540.565,-0.0104,23.723,0.926000000000002,122.916,-4.776,8.108,-61.057,61.7778851127165,-594.018126083812,"Iasis cylindrica","Linear",9,"Weelia agg- nice sequence (3 separate chains)",594.018126083812,66.0020140093125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",85,0.0118,30.426,48.283,-417.649,"0",6.703,47.357,-540.565,-0.0104,23.723,0.926000000000002,122.916,-4.776,8.108,-61.057,61.7778851127165,-594.018126083812,"Iasis cylindrica","Linear",134,"Weelia agg- nice sequence (3 separate chains)",594.018126083812,4.4329710901777,NA,NA,NA,NA,NA,NA,NA,NA,NA
