Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
78	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	150	P2	NA	NA	4	NA	208		No temperature measured.	NA	88
79	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	180	P2	NA	NA	3.79	NA	208		No temperature measured.	NA	89
80	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	300	P2	NA	NA	2.61	NA	208		No temperature measured.	NA	90
81	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	0	P3 control	NA	NA	6.71	NA	72	Control local seawater	No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	NA
82	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	15	P3 control	NA	NA	6.66	NA	72	Control local seawater	No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	NA
83	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	30	P3 control	NA	NA	6.66	NA	72	Control local seawater	No temperature measured.	NA	NA
84	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	45	P3 control	NA	NA	6.66	NA	72	Control local seawater	No temperature measured.	NA	NA
85	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	60	P3 control	NA	NA	6.61	NA	72	Control local seawater	No temperature measured.	NA	NA
86	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	90	P3 control	NA	NA	6.57	NA	72	Control local seawater	No temperature measured.	NA	NA
87	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	120	P3 control	NA	NA	6.53	NA	72	Control local seawater	No temperature measured.	NA	NA
88	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	150	P3 control	NA	NA	6.52	NA	72	Control local seawater	No temperature measured.	NA	NA
89	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	180	P3 control	NA	NA	6.52	NA	72	Control local seawater	No temperature measured.	NA	NA
90	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/20/2021	4	300	P3 control	NA	NA	6.31	NA	72	Control local seawater	No temperature measured.	NA	NA
91	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	0	P4	NA	NA	6.63	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	81
92	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	15	P4	NA	NA	6.49	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	82
93	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	30	P4	NA	NA	6.48	NA	208		No temperature measured.	NA	83
94	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	45	P4	NA	NA	6.46	NA	208		No temperature measured.	NA	84
95	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	60	P4	NA	NA	6.38	NA	208		No temperature measured.	NA	85
96	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	90	P4	NA	NA	6.36	NA	208		No temperature measured.	NA	86
97	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	120	P4	NA	NA	6.3	NA	208		No temperature measured.	NA	87
98	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	150	P4	NA	NA	6.23	NA	208		No temperature measured.	NA	88
99	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	180	P4	NA	NA	6.22	NA	208		No temperature measured.	NA	89
100	Plastic	Intact	Brooksia rostrata	D7-BR-B-2	Blastozooid	Very active	8	24	NA	9/20/2021	4	300	P4	NA	NA	5.86	NA	208		No temperature measured.	NA	90
101	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	0	P5	NA	NA	6.63	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	81
102	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	15	P5	NA	NA	6.53	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	82
103	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	30	P5	NA	NA	6.53	NA	208		No temperature measured.	NA	83
104	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	45	P5	NA	NA	6.51	NA	208		No temperature measured.	NA	84
105	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	60	P5	NA	NA	6.46	NA	208		No temperature measured.	NA	85
106	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	90	P5	NA	NA	6.44	NA	208		No temperature measured.	NA	86
107	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	120	P5	NA	NA	6.38	NA	208		No temperature measured.	NA	87
108	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	150	P5	NA	NA	6.33	NA	208		No temperature measured.	NA	88
109	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	180	P5	NA	NA	6.33	NA	208		No temperature measured.	NA	89
110	Plastic	Intact	Brooksia rostrata	D7-BR-B-3	Blastozooid	Very active	8	19	NA	9/20/2021	4	300	P5	NA	NA	6.01	NA	208		No temperature measured.	NA	90
111	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	0	P1	NA	NA	6.41	26.6	208	1 zooid popped off. Pregnant with large embryos.		NA	131
112	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	15	P1	NA	NA	6.47	26.2	208	1 zooid popped off. Pregnant with large embryos.		NA	132
113	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	30	P1	NA	NA	6.44	26.2	208	1 zooid popped off. Pregnant with large embryos.		NA	133
114	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	45	P1	NA	NA	6.39	26.2	208	1 zooid popped off. Pregnant with large embryos.		NA	134
115	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	60	P1	NA	NA	6.33	26.2	208	1 zooid popped off. Pregnant with large embryos.		NA	135
116	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	90	P1	NA	NA	6.33	25.7	208	1 zooid popped off. Pregnant with large embryos.		NA	136
117	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	120	P1	NA	NA	6.26	25.7	208	1 zooid popped off. Pregnant with large embryos.		NA	137
118	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	150	P1	NA	NA	6.16	25.6	208	1 zooid popped off. Pregnant with large embryos.		NA	138
119	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	180	P1	NA	NA	5.81	27.1	208	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air	NA	139
120	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-1	Blastozooid	Moderate	25	4	NA	9/21/2021	5	360	P1	NA	NA	5.53	27.2	208	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air	NA	140
